iter	Passed	Remaining
1526	16098	194749
1527	16108	194741
1528	16119	194730
1529	16129	194711
1530	16138	194688
1531	16148	194671
1532	16158	194647
1533	16168	194628
1534	16177	194605
1535	16188	194598
1536	16197	194573
1537	16207	194547
1538	16217	194541
1539	16229	194539
1540	16239	194525
1541	16249	194508
1542	16259	194492
1543	16269	194475
1544	16279	194456
1545	16289	194441
1546	16299	194420
1547	16308	194401
1548	16318	194379
1549	16328	194359
1550	16337	194338
1551	16348	194322
1552	16359	194318
1553	16368	194296
1554	16379	194283
1555	16388	194255
1556	16397	194237
1557	16410	194249
1558	16420	194239
1559	16431	194225
1560	16442	194221
1561	16452	194205
1562	16463	194197
1563	16474	194194
1564	16485	194188
1565	16495	194174
1566	16506	194165
1567	16515	194143
1568	16526	194132
1569	16536	194122
1570	16546	194101
1571	16556	194085
1572	16567	194084
1573	16579	194089
1574	16590	194078
1575	16600	194060
1576	16609	194041
1577	16619	194023
1578	16629	194002
1579	16639	193984
1580	16649	193968
1581	16659	193949
1582	16669	193934
1583	16679	193919
1584	16691	193922
1585	16700	193902
1586	16710	193887
1587	16721	193875
1588	16731	193865
1589	16741	193843
1590	16751	193824
1591	16761	193810
1592	16771	193795
1593	16781	193772
1594	16790	193749
1595	16801	193745
1596	16811	193729
1597	16821	193711
1598	16831	193693
1599	16841	193676
1600	16852	193668
1601	16862	193653
1602	16872	193637
1603	16882	193619
1604	16893	193622
1605	16904	193610
1606	16914	193596
1607	16924	193576
1608	16934	193558
1609	16944	193540
1610	16954	193524
1611	16963	193502
1612	16973	193484
1613	16983	193467
1614	16992	193445
1615	17003	193430
1616	17012	193410
1617	17022	193396
1618	17032	193372
1619	17041	193348
1620	17050	193323
1621	17060	193305
1622	17071	193294
1623	17081	193280
1624	17092	193273
1625	17102	193256
1626	17111	193228
1627	17121	193211
1628	17131	193196
1629	17140	193171
1630	17150	193152
1631	17159	193132
1632	17169	193111
1633	17179	193096
1634	17189	193082
1635	17199	193065
1636	17209	193049
1637	17219	193028
1638	17229	193014
1639	17239	192999
1640	17249	192981
1641	17259	192966
1642	17269	192952
1643	17280	192939
1644	17289	192919
1645	17300	192907
1646	17309	192888
1647	17319	192867
1648	17329	192852
1649	17339	192841
1650	17350	192836
1651	17360	192818
1652	17370	192801
1653	17381	192793
1654	17392	192788
1655	17402	192777
1656	17414	192773
1657	17425	192769
1658	17435	192757
1659	17445	192742
1660	17455	192725
1661	17466	192719
1662	17476	192702
1663	17486	192685
